" ",ACT,SCENE,ACTOR,AM,AND,ARE,ARTICLE,AS,AT_LEAST_AS,AT_MOST_AS,BETTER,BOTH,COLON,COMMA,DIFFERENT,EITHER,ENTER,EXEUNT,EXIT,FROM,I,IF,INTERJECTION,IS,LBRACKET,LESS,LET,LISTEN_TO_YOUR_HEART,MORE,MUST,MYSELF,NEG_ADJ,NEG_NOUN,NOT,NOTHING,OMNES,OPEN_YOUR_HEART,OPEN_YOUR_MIND,OR,OUGHT,PE,POSSESSIVE,POSTHASTE,POS_ADJ,POS_NOUN,PROCEED,QUESTION,THE_QUOTIENT_BETWEEN,THE_REMAINDER_BETWEEN,RBRACKET,RECALL,REMEMBER,RETURN,SHALL,SO,SPEAK_YOUR_MIND,THAN,THE_DIFFERENCE_BETWEEN,THE_OPPOSITE_OF,THE_PRODUCT_OF,THE_QUOTIENT_OF,THE_REMAINDER_OF,THE_SCR_OF,THE_SUM_OF,THE,TO,TWICE_THRICE_HALF,US,WE,WORSE,YOU,YOURSELF,ANYWORD,$
S," "," ","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist"," ","   title  dramatis-personae  actlist"," "," "," "," "," "," "," "," "," "," "," "," "," ","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist"," ","   title  dramatis-personae  actlist"," ","   title  dramatis-personae  actlist"," "," ","   title  dramatis-personae  actlist"," "," ","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist"," "," "," ","   title  dramatis-personae  actlist"," "," "," "," ","   title  dramatis-personae  actlist"," ","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist"," "," "," "," "," "," "," "," "," "," ","   title  dramatis-personae  actlist"," "," "," "," "," "," "," ","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist","   title  dramatis-personae  actlist"," "," ","   title  dramatis-personae  actlist"," ","   title  dramatis-personae  actlist"," ","   title  dramatis-personae  actlist"
title," "," ","   wordlist  peq","   wordlist  peq","   wordlist  peq"," ","   wordlist  peq"," "," "," "," "," "," "," "," "," "," "," "," "," ","   wordlist  peq","   wordlist  peq"," ","   wordlist  peq"," ","   wordlist  peq"," "," ","   wordlist  peq"," "," ","   wordlist  peq","   wordlist  peq"," "," "," ","   wordlist  peq"," "," "," "," ","   wordlist  peq"," ","   wordlist  peq","   wordlist  peq"," "," "," "," "," "," "," "," "," "," ","   wordlist  peq"," "," "," "," "," "," "," ","   wordlist  peq","   wordlist  peq","   wordlist  peq"," "," ","   wordlist  peq"," ","   wordlist  peq"," ","   wordlist  peq"
peq," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   QUESTION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
dramatis-personae," "," ","   ACTOR  COMMA  wordlist  peq  dramatis-personae'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
dramatis-personae'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
actlist,"   act  actlist'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
actlist'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
act,"   ACT  COLON  wordlist  peq  scenelist"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
scenelist," ","   scene  scenelist'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
scenelist'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
